X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
-9764.19,-1897.97,0,0
-9747.12,-1983.07,0,0
-9729.31,-2068.03,0,0
-9710.76,-2152.82,0,0
-9691.46,-2237.45,0,0
-9671.43,-2321.91,0,0
-9650.67,-2406.18,0,0
-9629.17,-2490.27,0,0
-9606.94,-2574.17,0,0
-9583.97,-2657.87,0,0
-9560.28,-2741.37,0,0
-9535.86,-2824.65,0,0
-9510.72,-2907.72,0,0
-9484.85,-2990.56,0,0
-9458.26,-3073.17,0,0
-9430.95,-3155.55,0,0
-9402.92,-3237.68,0,0
-9374.18,-3319.57,0,0
-9344.72,-3401.2,0,0
-9314.55,-3482.57,0,0
-9283.68,-3563.67,0,0
-9252.1,-3644.5,0,0
-9219.81,-3725.05,0,0
-9186.83,-3805.31,0,0
-9153.14,-3885.28,0,0
-9118.76,-3964.95,0,0
-9083.69,-4044.32,0,0
-9047.92,-4123.38,0,0
-9011.47,-4202.12,0,0
-8974.33,-4280.54,0,0
-8936.51,-4358.63,0,0
-8898.01,-4436.38,0,0
-8858.83,-4513.8,0,0
-8818.98,-4590.87,0,0
-8778.46,-4667.59,0,0
-8737.27,-4743.95,0,0
-8695.42,-4819.95,0,0
-8652.91,-4895.58,0,0
-8609.74,-4970.83,0,0
-8565.91,-5045.71,0,0
-8521.43,-5120.19,0,0
-8476.31,-5194.29,0,0
-8430.54,-5267.99,0,0
-8384.13,-5341.28,0,0
-8337.08,-5414.17,0,0
-8289.4,-5486.64,0,0
-8241.09,-5558.69,0,0
-8192.16,-5630.31,0,0
-8142.6,-5701.51,0,0
-8092.42,-5772.27,0,0
-8041.63,-5842.59,0,0
-7990.23,-5912.46,0,0
-7938.22,-5981.87,0,0
-7885.6,-6050.83,0,0
-7832.39,-6119.33,0,0
-7778.58,-6187.36,0,0
-7724.18,-6254.92,0,0
-7669.2,-6322,0,0
-7613.63,-6388.59,0,0
-7557.48,-6454.7,0,0
-7500.77,-6520.32,0,0
-7443.48,-6585.43,0,0
-7385.62,-6650.04,0,0
-7327.21,-6714.15,0,0
-7268.23,-6777.74,0,0
-7208.71,-6840.81,0,0
-7148.64,-6903.36,0,0
-7088.03,-6965.38,0,0
-7026.87,-7026.87,0,0
-6965.19,-7087.83,0,0
-6902.97,-7148.24,0,0
-6840.24,-7208.11,0,0
-6776.98,-7267.42,0,0
-6713.21,-7326.18,0,0
-6648.93,-7384.38,0,0
-6584.14,-7442.02,0,0
-6518.86,-7499.09,0,0
-6453.08,-7555.58,0,0
-6386.81,-7611.5,0,0
-6320.06,-7666.84,0,0
-6252.82,-7721.59,0,0
-6185.12,-7775.76,0,0
-6116.94,-7829.32,0,0
-6048.3,-7882.3,0,0
-5979.2,-7934.67,0,0
-5909.65,-7986.43,0,0
-5839.65,-8037.58,0,0
-5769.2,-8088.12,0,0
-5698.32,-8138.05,0,0
-5627.01,-8187.35,0,0
-5555.27,-8236.03,0,0
-5483.11,-8284.08,0,0
-5410.53,-8331.49,0,0
-5337.55,-8378.27,0,0
-5264.16,-8424.42,0,0
-5190.37,-8469.91,0,0
-5116.19,-8514.77,0,0
-5041.62,-8558.97,0,0
-4966.67,-8602.52,0,0
-4891.34,-8645.41,0,0
-4815.64,-8687.65,0,0
-4739.58,-8729.22,0,0
-4663.16,-8770.12,0,0
-4586.38,-8810.36,0,0
-4509.26,-8849.92,0,0
-4431.8,-8888.81,0,0
-4354,-8927.02,0,0
-4275.87,-8964.55,0,0
-4197.42,-9001.4,0,0
-4118.65,-9037.56,0,0
-4039.57,-9073.03,0,0
